,Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_Bonus
544,2023-05-08,15,20,33,36,43,12
545,2023-05-06,31,39,47,51,53,06
546,2023-05-03,21,26,30,45,47,23
547,2023-05-01,03,38,55,61,66,01
548,2023-04-29,16,53,54,57,65,08
549,2023-04-26,02,15,30,35,49,06
550,2023-04-24,19,21,55,66,68,03
551,2023-04-22,17,36,47,63,68,25
552,2023-04-19,04,11,21,38,64,11
553,2023-04-17,23,25,35,63,64,25
554,2023-04-15,01,33,34,56,59,18
555,2023-04-12,09,36,41,44,59,04
556,2023-04-10,09,10,36,46,52,14
557,2023-04-08,11,22,24,51,60,18
558,2023-04-05,03,05,09,42,52,11
559,2023-04-03,16,30,31,54,68,01
560,2023-04-01,11,19,21,29,52,17
561,2023-03-29,04,09,24,46,66,07
562,2023-03-27,19,26,36,43,58,14
563,2023-03-25,15,17,18,47,57,19
564,2023-03-22,27,28,37,50,57,05
565,2023-03-20,01,27,32,47,67,14
566,2023-03-18,14,20,30,54,69,11
567,2023-03-15,16,18,33,37,50,08
568,2023-03-13,03,10,24,46,63,04
569,2023-03-11,11,20,33,43,58,24
570,2023-03-08,26,27,43,61,69,04
571,2023-03-06,02,13,29,58,69,04
572,2023-03-04,10,16,18,40,66,16
573,2023-03-01,02,09,28,36,53,04
574,2023-02-27,16,28,49,51,55,23
575,2023-02-25,11,24,58,66,67,26
576,2023-02-22,11,19,39,44,65,07
577,2023-02-20,03,17,26,38,54,15
578,2023-02-18,08,21,31,32,37,23
579,2023-02-15,31,32,54,60,63,12
580,2023-02-13,17,26,37,61,65,02
581,2023-02-11,10,23,30,54,65,11
582,2023-02-08,52,58,59,64,66,09
583,2023-02-06,05,11,22,23,69,07
584,2023-02-04,02,08,15,19,58,10
585,2023-02-01,31,43,58,59,66,09
586,2023-01-30,01,04,12,36,49,05
587,2023-01-28,02,18,23,27,47,15
588,2023-01-25,09,17,20,38,40,18
589,2023-01-23,12,31,47,58,60,23
590,2023-01-21,05,14,19,46,64,22
591,2023-01-18,06,15,22,42,47,26
592,2023-01-16,04,14,33,39,61,03
593,2023-01-14,24,26,39,47,57,23
594,2023-01-11,04,08,46,47,48,05
595,2023-01-09,18,43,48,60,69,14
596,2023-01-07,35,36,44,45,67,14
597,2023-01-04,12,32,56,67,68,26
598,2023-01-02,07,09,12,31,62,22
